Flight No.,Payload,Orbit,Customer,Launch site,Payload mass,Launch outcome,Version Booster,Booster landing,Date,Time
1,Dragon Spacecraft Qualification Unit,LEO,SpaceX,CCAFS,0,Success,F9 v1.0,Failure,4 June 2010,18:45
2,Dragon,LEO,SpaceX,CCAFS,0,"Success
",F9 v1.0,Failure,4 June 2010,18:45
3,Dragon,LEO,NASA,CCAFS,525 kg,Success,F9 v1.0,Failure,8 December 2010,15:43
4,SpaceX CRS-1,LEO,NASA,CCAFS,"4,700 kg",Success,F9 v1.0,Failure,8 December 2010,15:43
5,SpaceX CRS-2,LEO,NASA,CCAFS,"4,877 kg",Success,F9 v1.0,No attempt,22 May 2012,07:44
6,CASSIOPE,LEO,NASA,VAFB,500 kg,Success,F9 v1.1,"No attempt
",22 May 2012,07:44
7,SES-8,LEO,NASA,CCAFS,"3,170 kg",Success,F9 v1.1,No attempt,8 October 2012,00:35
8,Thaicom 6,LEO,NASA,CCAFS,"3,325 kg","Success
",F9 v1.1,No attempt,8 October 2012,00:35
9,SpaceX CRS-3,LEO,NASA,Cape Canaveral,"2,296 kg",Success,F9 v1.1,No attempt,1 March 2013,15:10
10,Orbcomm-OG2,LEO,NASA,Cape Canaveral,"1,316 kg","Success
",F9 v1.1,"No attempt
",1 March 2013,15:10
11,AsiaSat 8,Polar orbit,MDA,Cape Canaveral,"4,535 kg",Success,F9 v1.1,Uncontrolled,29 September 2013,16:00
12,AsiaSat 6,Polar orbit,MDA,Cape Canaveral,"4,428 kg",Success,F9 v1.1,Uncontrolled,29 September 2013,16:00
13,SpaceX CRS-4,GTO,SES,Cape Canaveral,"2,216 kg",Success,F9 v1.1,No attempt,3 December 2013,22:41
14,SpaceX CRS-5,GTO,SES,Cape Canaveral,"2,395 kg",Success,F9 v1.1,No attempt,3 December 2013,22:41
15,DSCOVR,GTO,Thaicom,Cape Canaveral,570 kg,Success,F9 v1.1,No attempt,6 January 2014,22:06
16,ABS-3A,GTO,Thaicom,Cape Canaveral,"4,159 kg",Success,F9 v1.1,No attempt,6 January 2014,22:06
17,SpaceX CRS-6,LEO,NASA,Cape Canaveral,"1,898 kg",Success,F9 v1.1,Controlled,18 April 2014,19:25
18,TürkmenÄlem 52°E / MonacoSAT,LEO,NASA,Cape Canaveral,"4,707 kg","Success
",F9 v1.1,Controlled,18 April 2014,19:25
19,SpaceX CRS-7,LEO,Orbcomm,Cape Canaveral,"1,952 kg",Success,F9 v1.1,Controlled,14 July 2014,15:15
20,Orbcomm-OG2,LEO,Orbcomm,Cape Canaveral,"2,034 kg",Success,F9 FT,Controlled,14 July 2014,15:15
21,Jason-3,GTO,AsiaSat,VAFB,553 kg,Success,F9 v1.1,No attempt,5 August 2014,08:00
22,SES-9,GTO,AsiaSat,Cape Canaveral,"5,271 kg",Success,F9 FT,No attempt,5 August 2014,08:00
23,SpaceX CRS-8,GTO,AsiaSat,Cape Canaveral,"3,136 kg",Success,F9 FT,No attempt,7 September 2014,05:00
24,JCSAT-14,GTO,AsiaSat,Cape Canaveral,"4,696 kg",Success,F9 FT,"No attempt
",7 September 2014,05:00
25,Thaicom 8,LEO,NASA,Cape Canaveral,"3,100 kg",Success,F9 FT,Uncontrolled,21 September 2014,05:52
26,ABS-2A,LEO,NASA,Cape Canaveral,"3,600 kg",Success,F9 FT,Uncontrolled,21 September 2014,05:52
27,SpaceX CRS-9,LEO,NASA,Cape Canaveral,"2,257 kg",Success,F9 FT,Failure ,10 January 2015,09:47
28,JCSAT-16,LEO,NASA,Cape Canaveral,"4,600 kg",Success,F9 FT,Failure ,10 January 2015,09:47
29,Iridium NEXT,HEO,USAF,VAFB,"9,600 kg",Success,F9 FT,Controlled,11 February 2015,23:03
30,SpaceX CRS-10,HEO,USAF,KSC,"2,490 kg","Success
",F9 FT,Controlled,11 February 2015,23:03
31,EchoStar 23,GTO,ABS,KSC,"5,600 kg",Success,F9 FT,No attempt,2 March 2015,03:50
32,SES-10,GTO,ABS,KSC,"5,300 kg","Success
",F9 FT,No attempt,2 March 2015,03:50
33,NROL-76,LEO,NASA,KSC,C,Success,F9 FT,Failure,14 April 2015,20:10
34,Inmarsat-5 F4,LEO,NASA,KSC,"6,070 kg","Success
",F9 FT,Failure,14 April 2015,20:10
35,SpaceX CRS-11,GTO,,KSC,"2,708 kg",Success,F9 FT,No attempt,27 April 2015,23:03
36,BulgariaSat-1,GTO,,KSC,"3,669 kg","Success
",F9 FT,No attempt,27 April 2015,23:03
37,Iridium NEXT,LEO,NASA,VAFB,"9,600 kg",Failure,F9 FT,Precluded,28 June 2015,14:21
38,Intelsat 35e,LEO,NASA,KSC,"6,761 kg",Failure,F9 FT,Precluded,28 June 2015,14:21
39,SpaceX CRS-12,LEO,Orbcomm,KSC,"3,310 kg",Success,F9 B4,Success,22 December 2015,01:29
40,Formosat-5,LEO,Orbcomm,VAFB,475 kg,"Success
",F9 FT,Success,22 December 2015,01:29
41,Boeing X-37B,LEO,NASA,KSC,"4,990 kg",Success,F9 B4,Failure,17 January 2016,18:42
42,Iridium NEXT,LEO,NASA,VAFB,"9,600 kg","Success
",F9 B4,Failure,17 January 2016,18:42
43,SES-11,GTO,SES,KSC,"5,200 kg",Success,F9 FT,Failure,4 March 2016,23:35
44,Koreasat 5A,GTO,SES,KSC,"3,500 kg","Success
",F9 B4,Failure,4 March 2016,23:35
45,SpaceX CRS-13,LEO,NASA,Cape Canaveral,"2,205 kg",Success,F9 FT,Success,8 April 2016,20:43
46,Iridium NEXT,LEO,NASA,VAFB,"9,600 kg",Success,F9 FT,Success,8 April 2016,20:43
47,Zuma,GTO,SKY Perfect JSAT Group,CCAFS,C,Success,F9 B4,Success,6 May 2016,05:21
48,GovSat-1,GTO,SKY Perfect JSAT Group,CCAFS,"4,230 kg","Success
",F9 FT,Success,6 May 2016,05:21
49,Paz,GTO,Thaicom,VAFB,"2,150 kg",Success,F9 FT,Success,27 May 2016,21:39
50,Hispasat 30W-6,GTO,Thaicom,CCAFS,"6,092 kg","Success
",F9 B4,Success,27 May 2016,21:39
51,Iridium NEXT,GTO,ABS,VAFB,"9,600 kg",Success,F9 B4,Failure,15 June 2016,14:29
52,SpaceX CRS-14,GTO,ABS,CCAFS,"2,647 kg","Success
",F9 B4,Failure,15 June 2016,14:29
53,Transiting Exoplanet Survey Satellite,LEO,NASA,CCAFS,362 kg,Success,F9 B4,Success,18 July 2016,04:45
54,Bangabandhu-1,LEO,NASA,KSC,"3,600 kg","Success
",F9 B5,Success,18 July 2016,04:45
55,Iridium NEXT,GTO,SKY Perfect JSAT Group,VAFB,"6,460 kg",Success,F9 B4,Success,14 August 2016,05:26
56,SES-12,GTO,SKY Perfect JSAT Group,CCAFS,"5,384 kg","Success
",F9 B4,Success,14 August 2016,05:26
57,SpaceX CRS-15,Polar,Iridium Communications,CCAFS,"2,697 kg",Success,F9 B4,Success,14 January 2017,17:54
58,Telstar 19V,Polar,Iridium Communications,CCAFS,"7,075 kg","Success
",F9 B5,Success,14 January 2017,17:54
59,Iridium NEXT,LEO,NASA,VAFB,"9,600 kg",Success,F9 B5,Success,19 February 2017,14:39
60,Merah Putih,LEO,NASA,CCAFS,"5,800 kg","Success
",F9 B5,Success,19 February 2017,14:39
61,Telstar 18V,GTO,EchoStar,CCAFS,"7,060 kg",Success,F9 B5,No attempt,16 March 2017,06:00
